driverId,week,hours-logged,miles-logged
728,51,76,200
442,8,80,2500
116,43,64,2200
505,49,55,1100
74,15,53,3500
65,48,51,600
428,52,55,1100
663,8,61,900
89,41,66,2800
63,7,75,2000
715,16,77,800
13,23,56,1000
758,11,57,3300
571,44,78,1200
878,7,56,2000
584,35,66,3800
25,40,68,1300
89,11,60,2800
796,2,65,1800
826,52,62,3300
404,34,67,3600
389,45,64,900
513,38,55,2700
50,25,75,1500
909,51,70,1700
486,20,52,1400
144,17,53,900
751,38,64,4000
608,16,54,3600
30,42,71,0
781,46,69,600
649,34,59,3000
350,12,56,2200
55,11,73,1400
135,15,69,100
958,22,67,1000
230,50,65,2100
439,50,76,100
792,21,72,1100
897,29,73,900
528,48,66,2800
343,8,58,2200
702,18,69,1400
321,6,53,3700
229,49,78,3400
647,3,78,200
981,52,50,1200
192,50,74,3600
58,7,62,2300
568,10,52,3300
340,6,65,3700
485,9,67,2300
278,28,56,1600
1001,22,56,400
936,26,65,1200
589,36,63,3100
881,9,75,300
883,37,73,1400
830,1,63,3000
346,39,68,2500
282,42,61,600
408,40,77,2400
15,24,50,3300
150,11,63,200
356,23,56,1400
959,24,71,1600
835,19,77,3700
446,22,72,4000
478,27,73,2700
353,24,74,1800
982,1,60,300
83,10,50,700
303,44,76,1300
794,48,50,3300
291,34,56,1800
955,2,53,3700
104,13,69,2600
41,33,80,1900
984,26,76,3800
329,49,55,1200
876,22,64,3600
343,2,79,700
602,11,75,200
753,45,65,3100
676,31,65,1800
336,16,60,3400
988,26,66,3000
811,32,64,100
578,40,80,2100
41,15,60,2600
726,46,66,3200
240,8,57,2700
836,27,65,1800
489,40,57,3300
998,45,56,0
169,42,56,1400
92,43,71,3200
321,21,50,600
908,23,54,400
359,10,69,2500
883,27,56,2700
60,19,73,2400
341,7,75,3800
743,22,57,400
99,4,72,100
883,39,79,3400
353,6,79,3100
479,34,70,2300
336,16,71,3000
245,2,73,3700
160,46,70,2300
50,7,78,2400
304,19,51,1800
58,18,69,900
664,9,70,1200
166,27,72,3500
459,26,50,2100
210,4,70,400
461,21,65,1900
753,12,72,2000
838,33,68,3000
933,21,71,3300
970,52,50,2700
126,32,78,3300
772,11,62,200
402,20,63,1900
66,38,67,200
865,15,50,500
977,25,63,900
631,50,71,2200
906,5,63,700
344,46,68,300
622,39,72,0
274,9,50,1400
445,24,53,2400
877,32,63,300
707,13,78,2800
603,21,63,2600
187,39,76,2100
951,11,57,800
158,50,61,3300
171,13,59,1400
106,7,51,2400
199,24,67,2800
912,44,56,2100
656,36,74,1400
1003,46,52,900
152,1,68,300
39,21,54,2400
568,42,75,1300
259,31,57,2500
760,13,71,1100
783,14,61,2900
103,48,79,1200
250,10,57,500
332,3,62,800
617,22,71,100
670,28,74,1700
908,4,60,2000
508,43,68,3300
754,17,62,3100
261,40,80,3800
930,12,50,300
230,50,67,1800
166,42,78,1100
373,10,79,2400
651,7,56,2600
78,40,76,3600
907,40,78,3800
734,50,63,300
277,14,77,3300
786,45,63,800
206,31,60,2900
584,42,74,3100
423,22,72,1100
54,11,60,2900
774,34,76,3000
739,11,77,400
1004,26,79,1500
685,17,65,3000
962,10,78,2000
952,17,59,1900
74,11,67,400
134,27,54,3500
184,29,75,2900
363,38,66,0
930,3,51,1700
126,17,74,700
402,49,69,100
295,32,76,2200
38,23,80,100
661,2,72,100
693,10,57,2400
688,41,77,2900
296,14,55,400
190,29,78,400
476,52,77,2500
95,44,71,2200
987,36,60,2400
322,21,77,100
313,14,50,2000
29,23,68,1300
557,24,58,3200
709,31,62,1200
184,8,80,3600
695,41,60,300
269,17,55,100
985,3,60,500
533,43,57,600
22,38,70,1100
427,21,68,2900
488,16,67,3500
626,44,67,2600
59,35,57,2800
744,4,73,4000
577,35,62,1900
338,14,52,400
994,23,80,300
686,19,65,4000
984,50,79,3200
714,22,51,2900
892,20,50,3200
29,45,56,2400
456,3,72,2200
820,47,57,2500
388,31,58,900
440,1,56,1600
270,17,53,200
555,30,61,1900
161,24,68,300
1000,17,68,3700
948,23,63,3900
833,30,54,1500
889,12,58,800
82,15,58,1000
106,47,53,200
77,24,53,3200
994,2,51,3700
729,36,52,3200
694,1,56,2000
1003,46,77,0
552,24,75,700
881,8,60,1100
566,42,52,900
709,35,62,3600
451,46,52,3700
336,33,54,2800
994,16,68,1200
694,40,80,2300
712,43,65,4000
203,33,65,3300
887,14,80,1900
988,38,73,800
371,52,67,1400
878,48,77,2800
813,30,62,3000
590,7,74,1100
261,37,73,3500
307,47,56,200
125,15,68,3000
732,27,56,1000
833,49,76,1400
350,43,65,800
293,28,54,700
150,46,58,3800
905,44,78,500
693,19,74,2900
907,32,65,500
